WKT,fid
194831.14808327 616396.538159262,649
226394.360796127 563876.236285224,650
193271.774506051 413648.284081326,651
204223.281374097 515961.970512779,652
204223.281374097 515961.970512779,653
46706.8422566003 406036.125061779,654
69479.1394 402886.8113,655
56919.8849108461 399617.510983137,656
56990.715134533 399299.240076869,657
71544.6798308756 402835.344790927,658
70945.9885465049 392794.463993502,659
70750.5539707056 393180.306114881,660
70345.1632355554 402108.537647773,661
68438.7337816941 405596.608675876,662
68432.0728573099 407440.708033037,663
67935.0125370603 405282.751052481,664
66637.3926929983 394039.814887301,665
63947.411815967 395187.878455819,666
63780.6852891463 394483.255876421,667
63763.1018570133 394524.854541495,668
63285.5981365539 394857.853931844,669
63023.2340370251 395507.976324178,670
61933.3116152561 406564.123598826,671
61118.3251600227 398084.960317016,672
60899.7795930205 397393.510297249,673
60079.2332139962 392452.992717014,674
59562.0213539551 404418.238485904,675
59424.0526615152 401560.441979869,676
59322.5109703441 404323.727314851,677
58215.6004836033 404704.225359608,678
57355.4986941787 404325.276470539,679
57257.1831713158 403973.244799123,680
56746.1882326497 405135.174130589,681
54449.0674955875 392843.377492382,682
53698.3724454568 395748.700162018,683
52401.3503536476 405924.573231126,684
51794.0222246036 407446.559764692,685
51365.8397224881 408663.107723691,686
51611.8248836936 406581.269698985,687
51535.0947678989 406226.408064061,688
51366.8723759435 407532.795760694,689
51267.5115419559 397795.975686144,690
50784.1790361059 408996.703414594,691
50480.6686650789 410362.631532589,692
50016.5649785349 410901.497107921,693
49788.1168152696 411367.614915503,694
49524.4454555372 410996.110734658,695
48742.2611190431 411580.795527887,696
47786.074277104 411516.200808519,697
47650.8342165778 413250.409268036,698
47766.0307053963 412183.382762757,699
46933.1754981136 402691.325956606,700
45653.8017406655 402785.677795066,701
45955.5538667429 402882.434651708,702
45290.3172601851 413530.82264064,703
44824.6441037737 402645.694975222,704
44093.3884824744 402515.852528568,705
44310.9382957139 412228.376916415,706
43429.4240943157 411870.996245687,707
43399.6323877762 401461.368384102,708
43045.329476603 402103.03005533,709
42601.5657178408 402232.299470887,710
42287.3286272896 411178.952594871,711
41727.7731641204 402032.525347822,712
41660.4168925061 401834.915994142,713
41657.480897032 410707.415276059,714
41392.8547791218 401927.613737097,715
40684.0723857045 401762.199942811,716
40236.4652214737 410410.312791733,717
39443.7646166984 410188.451031637,718
38411.6325206379 402070.062272673,719
152548.285448188 495424.727418746,720
90565.3240230086 427996.089573603,721
96689.5633373114 426945.641737967,722
93336.6888831554 427414.956955,723
94012.5972104366 428033.485811946,724
92921.9136495992 428120.400200683,725
91214.9159662745 427176.597543755,726
89686.7563706245 428276.21788499,727
90119.2240993032 427346.011006538,728
90442.9548326643 427079.263615837,729
90272.1778507505 427084.124299323,730
88801.3038484412 427937.397260878,731
88211.1615516994 427300.878846975,732
86215.2402227264 428481.973522048,733
83464.0364389473 430056.071254555,734
82638.6349429118 431525.479235205,735
170932.088031784 552273.767630942,736
170932.088031784 552273.767630942,737
163392.851130599 556365.246486992,738
164121.361069186 554715.385743722,739
165449.820368962 557800.839601266,740
164528.469564279 557715.132549667,741
165364.113317363 550215.765534804,742
161892.977727627 547987.382193244,743
159321.766179673 544837.648047002,744
163542.838470897 553151.23205205,745
162670.35991796 548258.434031153,746
163836.014047986 555018.869246644,747
95160.4468167981 419736.604624297,748
113743.434399773 497313.916305027,749
113766.281146852 500137.647460078,750
114149.064533703 499518.911067646,751
114139.782830863 495983.593725223,752
112862.971089623 495922.171164264,753
112470.729366358 498325.694598859,754
130143.122694417 506086.497988772,755
130143.122694417 506086.497988772,756
129914.190478929 390524.0115855,757
197163.195202522 354596.59753829,758
197933.478831095 352165.389835606,759
201014.613345387 346604.904891845,760
200355.600621355 351119.743009073,761
199627.480402907 347574.496915057,762
203328.194305276 350523.997525278,763
203968.702480686 349306.241241166,764
204371.985405944 350523.997525278,765
201904.842804365 350919.372942198,766
199920.058211428 350935.187958875,767
197381.748034804 350927.280450536,768
201311.779678985 351654.771217669,769
203470.529455367 351797.10636776,770
204142.667664131 351488.713542562,771
197018.002651237 351805.013876098,772
203983.63359351 349418.186621014,773
200163.29876478 347167.339444944,774
196521.506190799 355739.414854001,775
189459.044255314 539652.019339684,776
189832.979651004 538988.705218785,777
187718.652105718 542659.095727295,778
188530.926701636 542316.055380755,779
224701.025926257 483845.804179926,780
224999.453084659 480511.159738693,781
183434.361812741 364405.022334944,782
184260.635535991 363997.675385968,783
183370.824241991 364536.396937714,784
182677.207367553 363509.991855904,785
180431.141886346 315495.245451569,786
182478.184334209 314653.823095699,787
180456.258971596 313925.427623453,788
180117.178320723 311740.241206716,789
182113.986598086 311275.575129594,790
180792.769424009 312938.636336261,791
180915.469992432 312127.936152033,792
179776.107571355 310681.822309896,793
179951.394097674 313249.769920478,794
182782.271497737 311308.471641488,795
180757.712118745 311128.802952011,796
180620.871470079 315695.446281516,797
180520.872576335 315625.487831674,798
180301.824861429 315744.877197711,799
106007.988316946 523662.861833308,800
192515.564032169 417197.966694412,801
176044.318828295 315673.365731964,802
176148.678851247 313912.869080828,803
174725.154431266 314307.514060594,804
174429.365093893 314985.391749675,805
176018.127145233 316150.610260218,806
175907.503823185 316245.614016524,807
175814.240517557 316232.107622386,808
174531.283600905 315579.295627902,809
174575.826356546 314188.147383586,810
174361.287696911 314932.523309348,811
174381.187833807 314321.012591572,812
173934.58037955 314600.197940335,813
182964.865639153 560829.517155079,814
179279.122968877 560138.440404402,815
182800.323555659 556814.690317814,816
183034.700576743 559940.056247731,817
179151.516689989 559632.6654421,818
253342.868637864 497054.040455591,819
256969.645482994 495593.701106446,820
254129.205210481 493090.262222196,821
254385.968172968 494983.889070539,822
258654.652424316 494149.409442456,823
255846.307522113 494390.124719787,824
252155.339936361 496059.083975954,825
253197.060870151 493345.832239152,826
229427.520001559 459240.385047095,827
170640.721350309 379515.999554777,828
173413.102578322 377881.124388863,829
170222.488599424 379762.631703012,830
172089.234365677 378464.378939124,831
199360.79534815 362334.426740537,832
202384.170323305 360439.909304807,833
199347.476559604 361697.195392532,834
128706.305112009 443498.332945577,835
127551.894892338 442347.040590559,836
124186.382836313 441475.131204399,837
200136.17862052 516391.916545307,838
207327.891903345 504320.720193056,839
208418.545557054 503914.346805952,840
207085.864367361 504410.89872887,841
204479.1394 507886.8113,842
201765.071155776 505943.359844689,843
114968.454936608 396239.364347579,844
199046.259857086 562397.62515432,845
199353.375681876 562401.446462451,846
197911.472294995 562926.261489577,847
199855.54866015 560640.616568722,848
199876.846879136 561399.742422384,849
197263.20338363 562492.095602909,850
234479.1394 502886.8113,851
224479.1394 497886.8113,852
228265.518094041 501374.833857938,853
224803.832743485 499577.402429462,854
223231.259163599 497034.517491774,855
228852.373236383 505834.237736668,856
232499.405581225 505131.59847757,857
226510.242372723 503659.401934698,858
229326.006741436 502144.05194807,859
226545.940134333 503033.954621923,860
226390.280283746 502918.127239901,861
226211.099087964 503089.648616633,862
224083.273992635 498299.80263357,863
187433.787861235 505285.133540708,864
181316.726662547 492349.032743827,865
167326.572333444 484861.026877619,866
173704.022223446 488051.510575188,867
176804.230737147 490243.920146839,868
166925.759696823 482363.852036426,869
10708.3461032558 390669.410818694,870
145505.660522308 410380.573513877,871
149185.051759763 409876.99203075,872
141161.891355812 410381.593314017,873
149222.663661668 409706.888459791,874
144631.965921571 410628.940358352,875
59227.1505999166 373268.076619836,876
36435.0985035687 418250.507867065,877
17767.9502197722 405482.270668729,878
49479.1394 437886.8113,879
39479.1394 427886.8113,880
63929.8743060085 434983.137477862,881
63873.867795873 435280.238742658,882
65120.4092671681 428667.631621712,883
64547.2767694838 429921.316613748,884
62874.3726921693 435211.496012334,885
172187.732261089 358228.019925154,886
172049.564830203 363231.129864925,887
171998.698069939 363499.83037865,888
173002.15989007 367675.613450281,889
171524.85105887 358849.103684484,890
171721.195711266 360508.932352054,891
176453.92514947 369186.42600223,892
168088.433544685 359230.11960047,893
175185.00591481 368179.518213952,894
169041.762782432 359796.292979659,895
173603.912777715 366021.918457757,896
173810.809763893 366525.442970908,897
171989.895211683 359956.490797265,898
170987.570033903 359776.887891447,899
170163.820830568 359302.050908651,900
76664.8032784307 455466.252022753,901
77866.5951561467 456045.476785885,902
76513.3958023639 455417.136945664,903
76849.940458585 454123.541768465,904
24506.5120018725 383651.176676034,905
48229.941837486 374697.197321736,906
70395.8773592475 376687.352914514,907
42713.454012698 380835.538247079,908
42709.215596267 380830.874006213,909
72577.0877227829 380428.318466285,910
61339.622413366 383664.095731027,911
56809.605136068 380295.410859472,912
50823.4661985302 379589.289199203,913
50548.8701608101 379671.261060569,914
45025.2813266411 379238.491995487,915
44553.0567279595 379696.189747673,916
44039.7152577422 380091.908183958,917
43427.5083601805 380805.844602396,918
38464.2562154449 384074.214023986,919
36581.6983574432 376550.137385261,920
33710.3639966498 386196.178799625,921
33922.2166641611 377456.325607749,922
32996.6491594787 377715.48855716,923
18790.9497761025 379381.405346017,924
206895.545784418 563828.816779941,925
207617.394550663 563864.856011609,926
207616.388186444 563864.790719587,927
206763.346355005 563822.219312476,928
251003.298860721 442645.147981833,929
174739.951614662 556790.441718539,930
256463.098213752 463128.569357212,931
230296.768119566 553309.631577259,932
229116.775930497 552100.318022787,933
231565.269039934 554583.789605217,934
248375.430210467 436397.359065751,935
115226.119181271 504008.32215927,936
114752.029651873 503350.29573057,937
117046.018636615 499005.261062723,938
117608.359288844 502637.865561569,939
118164.654876644 503977.19283235,940
117906.690800407 500744.431633444,941
118600.092277828 504019.646460784,942
59521.3081089557 389796.076868532,943
60019.3490916354 390004.018424721,944
198899.061172843 411885.831678672,945
128288.708831627 440804.89229573,946
128302.564746021 437824.337727536,947
127724.793146279 440100.242865583,948
239479.1394 577886.8113,949
241625.930478739 574380.54954729,950
242597.806674429 570553.031342209,951
239559.892154366 576113.506078382,952
242384.713879743 572715.473641451,953
241625.930478739 574380.54954729,954
106722.163957176 533180.387550056,955
108128.028156331 536506.600978384,956
193263.708824941 516014.125102847,957
14841.099314014 375339.457607213,958
14839.8788651722 375276.475127283,959
14857.64946475 376193.544645399,960
14738.1243392007 377429.782241854,961
14729.7938970049 377552.830630712,962
14843.7179232426 375870.066672771,963
73233.0486447485 373086.228546111,964
33124.5076385682 797802.742205619,965
3808.38073948121 679635.71399157,966
111222.808300039 648279.673202554,967
184277.815113576 487472.553981839,968
183143.933861692 487182.745934179,969
182478.76923666 486980.447180884,970
182684.673159129 487248.675336841,971
181245.568154193 486257.353312915,972
180463.016056046 486756.843915931,973
196868.435352021 492627.987159781,974
179573.26156283 464314.11394038,975
185291.827089901 464593.068356335,976
190243.267973097 468219.475763746,977
175528.422531487 468079.998555768,978
171767.523779324 470356.04877381,979
199479.1394 497886.8113,980
189479.1394 487886.8113,981
194479.1394 487886.8113,982
174479.1394 482886.8113,983
179479.1394 482886.8113,984
184479.1394 482886.8113,985
189479.1394 482886.8113,986
174479.1394 477886.8113,987
179479.1394 477886.8113,988
184479.1394 477886.8113,989
189479.1394 477886.8113,990
174479.1394 472886.8113,991
179479.1394 472886.8113,992
184479.1394 472886.8113,993
189479.1394 472886.8113,994
189479.1394 462886.8113,995
174479.1394 457886.8113,996
184479.1394 457886.8113,997
189479.1394 457886.8113,998
194479.1394 457886.8113,999
174479.1394 452886.8113,1000
179479.1394 452886.8113,1001
184479.1394 452886.8113,1002
194479.1394 452886.8113,1003
199479.1394 452886.8113,1004
179479.1394 447886.8113,1005
184479.1394 447886.8113,1006
189479.1394 447886.8113,1007
194479.1394 447886.8113,1008
199479.1394 447886.8113,1009
185952.666638024 451248.01388418,1010
183748.973724585 487151.583793082,1011
197207.180330517 452970.77356844,1012
199370.22940264 494122.267974769,1013
184628.17909559 479407.04384766,1014
184604.503365381 457682.034303144,1015
196375.441204942 486277.430389874,1016
192178.366822552 484747.901016978,1017
192134.67225806 447441.104068634,1018
192162.121920803 483601.279961398,1019
185823.905933015 445953.469523198,1020
191558.61244909 485397.668320953,1021
189658.555182878 492748.782543601,1022
189961.524432769 460053.87947628,1023
189832.396612525 448969.203873917,1024
188650.640822054 453220.891294601,1025
185639.117510721 489329.108160534,1026
187759.26085952 444319.693699518,1027
179077.073329511 446074.285711303,1028
180361.885044377 486142.084839446,1029
181237.593062472 476516.589682138,1030
180831.872460963 476629.81330917,1031
180383.080832689 442930.069686127,1032
180758.933390142 444178.194432608,1033
180176.880863505 469901.963695159,1034
177403.667784718 472232.268989365,1035
176965.388387257 484722.904303778,1036
198251.103317945 435421.084417659,1037
203176.196290863 434826.676645065,1038
199609.749655301 444889.151081115,1039
207549.339189231 453508.063783723,1040
208440.950848122 472104.535526297,1041
205237.067830662 493185.895991691,1042
174063.911847725 440045.079752322,1043
152602.632048972 441564.652395609,1044
162111.125763493 443667.492351705,1045
148652.950044479 424632.219357828,1046
158783.152963411 431964.73085691,1047
163208.25965363 433994.428553664,1048
167011.657139439 434012.714118499,1049
172826.466757165 433756.716210801,1050
209479.1394 462886.8113,1051
204479.1394 447886.8113,1052
154479.1394 442886.8113,1053
164479.1394 442886.8113,1054
194479.1394 442886.8113,1055
202525.231061521 495662.28899557,1056
203646.546014523 484241.532138788,1057
202855.10922793 486944.243480203,1058
185556.921580018 431327.306009068,1059
183764.142424259 431157.042066901,1060
180869.655407419 432949.82122266,1061
174109.175350787 434992.988528664,1062
176973.615789597 433400.519893102,1063
169211.583131982 435353.547465018,1064
160728.43260166 434061.54460975,1065
160077.423411021 432809.603858522,1066
157082.781134084 428663.176090454,1067
154829.287781873 427421.250865236,1068
152916.322313996 423635.382033522,1069
200990.663653334 435334.754855807,1070
210662.818634268 456776.053039453,1071
209911.054117991 459737.285895556,1072
209253.776740514 470954.086109325,1073
209739.329043741 458872.463797162,1074
209528.463538447 460390.015142047,1075
209966.239296929 469085.516655857,1076
209453.892769933 463047.652568193,1077
207258.03801509 454050.333816987,1078
208290.868833318 471195.89453027,1079
208193.45713887 472356.020831002,1080
207782.712418065 472882.079424487,1081
207943.682574624 466362.977911977,1082
206903.858185444 474122.289031799,1083
206928.536848666 453106.819081522,1084
206870.928012763 453079.289729686,1085
204472.013655183 479025.033693888,1086
204045.738386241 495706.953732883,1087
204416.424292873 447764.094325223,1088
200686.66074507 445840.013672397,1089
205384.217000315 494936.963499726,1090
203470.924219811 486008.225740466,1091
203414.23010378 431259.513522959,1092
203236.636210672 482597.542503549,1093
202528.001091367 498162.986460261,1094
201001.299760323 499711.855748557,1095
200956.355218412 500927.432951248,1096
200575.969970632 501419.585848748,1097
200486.011925721 500779.816533938,1098
200254.836564461 501281.358054371,1099
200102.497245266 501935.893566437,1100
198605.068643954 435574.07002339,1101
195950.406329962 504475.098139513,1102
196826.957623972 444329.971725088,1103
195230.186403689 442992.287352805,1104
194568.238072079 439565.613836046,1105
194426.606651752 504425.972527499,1106
194234.020093518 442146.629037124,1107
193985.966995507 504667.101435174,1108
194071.9254481 442453.542766905,1109
193266.965634585 440997.433914205,1110
193074.712417376 505202.718922111,1111
191790.294797462 507169.03505128,1112
191822.611846654 506157.944489104,1113
191759.957627869 506257.031234322,1114
190874.497980306 508652.86647907,1115
188726.254550887 510166.339147583,1116
188020.036805293 510229.276832399,1117
186899.721462092 430070.162189207,1118
187224.250311492 510570.321303597,1119
185114.75020251 510410.26690094,1120
186849.363983387 510784.67475822,1121
185580.624998601 431268.166985365,1122
185289.802693472 510812.056236163,1123
183267.185238287 431381.113806045,1124
182807.96452472 510734.791410744,1125
181295.144918272 432822.782846915,1126
182900.576896566 441167.0708627,1127
180233.39052842 442400.741493811,1128
174983.91114124 440514.278980383,1129
174830.560155386 434621.537218124,1130
176861.36379743 433334.056591255,1131
174807.330154445 441291.623618869,1132
172218.055628205 433858.108286266,1133
166427.809586211 433894.211788461,1134
168204.620383591 440554.392551325,1135
164441.482386332 442653.888807069,1136
165968.386961814 441319.78256447,1137
157246.696393752 429258.439878432,1138
161423.964357575 434081.779145297,1139
160351.855330032 444721.917211087,1140
159392.314358963 433467.199236166,1141
154874.359472213 443004.392083939,1142
157430.299028596 431487.63266517,1143
154966.57403156 442122.430868055,1144
149123.384817743 424833.241281268,1145
203131.072835284 496516.00534952,1146
195833.229434769 503983.535477088,1147
193913.933433619 504824.289470496,1148
191971.366238985 506469.718727884,1149
188779.604898267 509975.703419492,1150
184098.925248531 510628.670769188,1151
183588.708036963 510771.758995367,1152
161042.912479427 445091.969484042,1153
148761.14166888 425164.387909976,1154
193750.58732545 439581.938825815,1155
170559.056717549 439370.384615335,1156
147116.962598287 426149.921239184,1157
151724.924936863 425784.209942471,1158
191843.454186207 431361.307217335,1159
195701.708366522 430520.171234896,1160
204479.1394 487886.8113,1161
199479.1394 432886.8113,1162
194370.687522529 503739.781729468,1163
197372.765487223 504743.185240758,1164
207290.411112673 429148.668741354,1165
203030.463203562 432079.208603799,1166
206378.087829044 433069.097605957,1167
206630.059575048 430144.425554125,1168
197503.894249354 431471.032741008,1169
195664.599014658 428109.042271031,1170
193991.141874893 429194.527983311,1171
198546.923401131 436714.043832511,1172
196590.431972219 436256.77955219,1173
195031.235737685 436496.655895965,1174
202717.085141799 435398.543120664,1175
194589.740988914 502950.224483912,1176
211142.800096921 457688.261047923,1177
210515.684528046 458923.259644393,1178
209139.90408005 467748.622517848,1179
208706.122295487 467626.183711707,1180
207380.641781135 429108.919714426,1181
207046.258940841 453289.320756873,1182
206059.693540496 452993.767670059,1183
206064.740573315 491356.541395535,1184
205626.622983342 429306.00262409,1185
203623.843276998 487277.660522039,1186
204696.078187381 488430.072176267,1187
204084.791619426 479623.293986868,1188
204100.601196417 478231.351268821,1189
203042.131928074 430298.20344574,1190
202946.725004048 447331.181682644,1191
202335.928559059 486471.966075351,1192
203099.348120808 487072.561168286,1193
202960.354557813 481952.251927875,1194
203041.363759129 481018.42927743,1195
202901.082820652 487033.290027955,1196
202331.975982084 495053.376049395,1197
202449.552358631 430669.736694302,1198
200300.60904265 431319.057779958,1199
194076.371709972 430797.233956994,1200
198335.341135897 503388.540988258,1201
198088.699582994 502986.893711553,1202
197885.549065943 504877.373688485,1203
197554.089549362 504015.99536956,1204
197513.190463258 505185.482516974,1205
196984.889964909 443998.07863921,1206
197398.345467295 505193.300849289,1207
194318.344464734 428666.067727374,1208
194329.507916866 439341.388132006,1209
192552.200099025 441421.483629315,1210
190603.324254343 508803.28008678,1211
187312.683189039 510800.134703991,1212
185754.964000345 510809.464097119,1213
179801.338006862 432483.274186067,1214
177272.341372625 433322.206125201,1215
170586.375739733 439849.050079787,1216
160701.025234396 443994.203641137,1217
158804.974420318 444448.277699667,1218
155793.390480925 428246.499167095,1219
151080.598517763 425846.816128115,1220
147263.969729597 426381.102306261,1221
145689.673744524 425885.896577089,1222
231857.356156187 488029.455626951,1223
72850.5743877858 451481.218085364,1224
69212.9938068434 447242.263295476,1225
67379.5358527394 445144.787395981,1226
71897.1762516517 443516.676732736,1227
71508.3466550345 443695.848886199,1228
68608.5564159665 445149.416587509,1229
68399.6831513694 444327.769541831,1230
197293.72271828 531438.495616075,1231
193131.14981561 532792.392707302,1232
193131.616799683 532790.224173464,1233
192335.354671501 536487.826441924,1234
245289.164980501 614340.180223346,1235
254669.58947977 608293.128641543,1236
145763.326092843 587183.590981611,1237
194479.1394 602886.8113,1238
219479.1394 602886.8113,1239
179479.1394 592886.8113,1240
274479.1394 587886.8113,1241
159479.1394 582886.8113,1242
119479.1394 547886.8113,1243
201563.490431443 604397.497423014,1244
227776.418801301 610854.382991873,1245
257132.334047395 597654.072109401,1246
144679.944996581 597274.455428945,1247
123448.863276811 562485.107643462,1248
267855.099050264 590897.036726001,1249
252917.320812075 608373.260985909,1250
162038.418289721 586264.940951017,1251
230579.628255047 604822.563759178,1252
78253.4598691767 407031.014025486,1253
73653.6815416882 390579.289969256,1254
60112.2059619467 378875.080338982,1255
60112.6272408333 378871.110324274,1256
60011.8333876358 379820.963479264,1257
176801.723067743 312920.744213459,1258
176701.254726743 309002.478914482,1259
176763.004774158 312840.699666165,1260
77563.5719622942 423488.355074413,1261
131464.245579448 463576.632855529,1262
135810.209511669 462658.471461398,1263
136788.646233829 467923.03125721,1264
136076.376616918 475570.930297557,1265
135876.672071332 473177.182201313,1266
135209.502601536 467139.419940391,1267
132458.567023691 465351.912402957,1268
133878.484405289 463007.433091932,1269
133178.130837821 469056.472252991,1270
133154.945459527 469442.948630536,1271
133059.071725871 462345.998553866,1272
133142.637007695 469778.363360847,1273
133132.384069725 469886.689919854,1274
133092.002533333 468725.454933333,1275
131237.979434189 471125.959173654,1276
137524.110780714 465188.516191893,1277
134479.1394 472886.8113,1278
133355.266982374 465992.835636697,1279
134457.909237623 469718.003636062,1280
135754.264221113 465651.053158177,1281
135123.848278146 470114.616990616,1282
136331.903843914 475604.259587399,1283
133411.446535428 472747.112203543,1284
134866.445083361 462516.834719699,1285
133526.336606656 462335.465491813,1286
99342.6781132517 484295.342032865,1287
95593.2278315894 479454.781880878,1288
128203.376411164 487383.693912007,1289
131702.878546101 484087.65120352,1290
132476.02436661 475583.047177917,1291
149729.383729555 493406.092934922,1292
